Date,BCH,TON,DOT,SOL,ADA,LINK,XRP,MATIC,BTC,TRX,ICP,SHIB,DOGE,LTC,BNB,AVAX,ETH
2023/12/20,4497120731,7668849163,8736334468,35163692629,20829819832,8081234809,33338679640,7406377697,8.54532E+11,9076775967,4010540989,6029728588,13010124617,5165621396,39456867752,15875159972,2.60959E+11
2023/12/21,4568450654,7750803850,10525207497,40107699035,22501974034,8684289994,33694648321,7808737020,8.5882E+11,9250330886,4153725874,6153279961,13521973996,5248675099,41146568968,16797310372,2.69164E+11
2023/12/22,4677295128,7716174735,10035159258,41880257528,22064252637,8804023280,33812375290,8376151216,8.61384E+11,9290229899,4234412766,6433761122,13550916166,5456568132,41166222839,16607008221,2.79613E+11
2023/12/23,4569868257,7721135921,10506952741,45992080618,21722490282,8911977642,33531408997,8210102573,8.56372E+11,9435239127,4306128158,6527087858,13319307694,5368843144,41168368316,17565546880,2.7751E+11
2023/12/24,4491029029,7509479820,10895489897,48084460235,20996828613,8697796154,33169837561,8131777511,8.42254E+11,9400637852,4427358645,6287208801,13083212777,5268036207,40155937691,17435295346,2.72299E+11
2023/12/25,4604542039,7729515486,12199257463,51786611387,22122138332,8867128926,34944225692,8714072402,8.53982E+11,9359662709,4331746011,6489861729,13448088300,5349803181,40513321134,17666646803,2.73125E+11
2023/12/26,4491069238,7527874596,11118276734,48313950138,21525273960,8573136074,33648380747,9702661011,8.3262E+11,9105944822,4195263330,6234631166,13008965712,5414871272,45158086090,16235000703,2.68186E+11
2023/12/27,5175394321,7468411630,10975104851,45817869730,22399847668,9471404285,34361654929,9933859813,8.50721E+11,9311931325,4185513196,6420866496,13326657010,5615021924,49099623483,15498575283,2.85887E+11
2023/12/28,5144555138,7568999257,10659100319,43773566954,21830107163,9118761730,34369375980,9587876668,8.34792E+11,9328150982,4447348434,6261798927,13086647553,5679853563,49087652755,14583902832,2.82139E+11
2023/12/29,4988311098,7863062106,10463865158,45626554052,21516752443,8824822949,33741742043,9300772982,8.24484E+11,9335198917,4263742834,6142581918,12967313746,5434472924,47613087708,14695189393,2.76504E+11
2023/12/30,5313743489,8225899283,10565590742,43721923849,21289321690,8631283770,33657389993,9107010306,8.25647E+11,9360891692,5601253593,6166693470,12841822731,5427985180,48111696912,14397140192,2.75467E+11
2023/12/31,5081824196,7983164500,10345695545,43576016360,21014927331,8490892165,33283785351,9274427077,8.27811E+11,9509555131,6049892647,6093268685,12746626943,5390137465,47394056692,14086866596,2.74194E+11
2024/1/1,5226247276,8075672346,11144036783,47090921460,22037177200,8825892483,34103276615,9704820305,8.65106E+11,9521523025,5887640396,6296723415,13111468130,5533602217,47693236942,15300673676,2.82712E+11
2024/1/2,5037263531,7902481851,10629011024,45844632122,21420259296,8615402261,33847840412,9265891045,8.80632E+11,9569615786,6338828372,6221638015,12995866438,5404465086,47343608598,14891618881,2.83136E+11
2024/1/3,4586520271,7654554958,9695374190,42397055220,19711309024,8038931360,31532229590,8180229374,8.39346E+11,9433005414,6523021129,5633525118,11691528935,4835824227,48034867756,13481321922,2.65702E+11
2024/1/4,4696668344,7506213348,9962925705,45207060499,20183163869,8268137657,31837800582,8448049076,8.65482E+11,9455273521,6307022258,5898442246,11990244372,4924162070,49087346605,14197884192,2.72702E+11
2024/1/5,4697188489,7211663797,9414691956,43103713121,19147092652,7990389798,31251562528,8147604467,8.65183E+11,9222812097,6045666346,5793257397,11797938474,4889558286,48154433470,13355428801,2.72656E+11
2024/1/6,4628773433,7477771573,9029067857,40477077059,18505353052,7628663536,30819279074,7920128920,8.61822E+11,9174435996,5469500284,5660211234,11498412596,4864227076,46689680899,12692665703,2.69409E+11
